напомина́ть;przypominać 
#przysz. lp принесу́, принесёшь, принесёт; lm принесём, принесёте, принесу́т; przesz. lp принёс / принесла́ / принесло́; lm принесли́; rozk. lp принеси́; ims.
приноси́ть;przynosić,dawać
приня́ть;czas. dok.(1.1) przyjąć (1.2) o lekarstwie zażyć(1.3) o prysznicu wziąć (1.4) założyć, przyjąć 
принима́ть;czas. niedok. (1.1) przyjmować (1.2) o lekarstwie zażywać (1.3) o prysznicu brać 
изуча́ть;czas. przechodni niedok. (1.1) badać, studiować, zagłębiać się w (1.2) przyglądać się uważnie, badawczo (1.3) uczyć się 
дли́нный;długi
длина́;długość
спи́сок; lista
заку́ска;przystawka, zakąska
заме́тить;czas. przechodni (1.1) zauważyć, spostrzec (1.2) zaznaczyć 
замеча́ть;czas. przechodni niedok.(1.1) zauważać (1.2) zaznaczać, zauważać 
танцева́ть ;tańczyć
не́сколько;zaimek liczebny, nieokreślony (1.1) kilka/kilku, parę/paru, kilkoro 2przysłówek (2.1) w niewielkim stopniu, trochę, nieco 
вро́де;partykuła(1.1) tak jakby, wydaje się(1.2) w rodzaju2przyimek(2.1) podobny do, na podobieństwo do 
подска́зывать;czas. nieprzechodni niedok. (1.1) podpowiadać 
съесть ;zjeść
съеда́ть;zjadać 
 бока́л;    kielich 
 встре́ча; spotkanie 
 моро́женое;    lody 
постепе́нно;przysłówek (1.1) stopniowo 
собира́ться ;czas. niedok. (1.1) zamierzać (1.2) zbierać się 
получи́ть;czas. dok. (1.1) otrzymać, dostać 
получа́ть;czas. niedok.1.1) otrzymywać 
счёт;rzecz., rodzaj męski (1.1) liczenie, rachunek(1.2) sport. wynik (1.3) rachunek (1.4) rachunek, konto 
блю́до;rzecz., rodzaj nijaki(1.1) półmisek (1.2) potrawa (1.3) danie 
гуля́ть;spacerować
перепи́сывать;czas. przechodni niedok.(1.1) przepisywać (1.2) przegrywać
почтальо́н;listonosz
о́чередь;kolejka,kolej,kolejność
посыла́ть;wysyłać
посла́ть;wysłać
откры́тка;pocztówka
по́чта;poczta
обра́тный; powrotny 
проверя́ть;czas. przech. niedok. (1.1) sprawdzać, kontrolować 
прове́рка;rzecz. r.ż. (1.1) sprawdzanie, sprawdzenie(1.2) kontrola (np. biletów) 
прове́рить;czas. przec. dok. (1.1) sprawdzić, skontrolować 
взве́шивать;czas.przech. niedok. (1.1) ważyć 
квита́нция;pokwitowanie, kwit
ме́лочь;rzecz. r.ż.(1.1) drobiazg (1.2) drobne (pieniądze) 
ме́лкий;przym. (1.1) drobny 
це́нный;cenny, wartościowy
боро́ться;    walczyć, zmagać się, borykać się
догова́риваться;umawiać się
здоро́ваться;witać się
знако́миться; zapoznawać się 
проща́ться;żegnać się
ссо́риться;kłócić się
бла́нк;formularz, blankiet, druk
сро́чно;pilnie, ekspresowo
сро́чный;pilny, ekspresowy
благодари́ть;dziękować
де́нежный;pieniężny
обеща́ть;(1.1) obiecywać, obiecać (1.2) przen. wróżyć 
успе́х;sukces,powodzenie
успе́шный; udany, pomyślny, skuteczny
забо́та;troska
гости́ница;rzecz. r.ż. (1.1) hotel 
оте́ль;rzecz. r.m.(1.1) hotel 
дово́льно;przysłówek (1.1) całkiem, dośćwykrzyknik (2.1) starczy!, stop!, basta! 
зда́ние;rzecz. r.n.(1.1) budynek 
на́бережная;nabrzeże
чуде́сный; cudowny
карти́на; obraz
разноцве́тный;różnokolorowy, różnobarwny
дворе́ц;pałac
ба́шня;rzecz. r.ż. (1.1) wieża (1.2) pot. wieżowiec 
удо́бный;wygodny
ежедне́вно; codziennie
толпа́;tłum
накану́не;przysłówek(1.1) poprzedniego dnia (1.2) w przeddzień 
разнообра́зный;przymiotnik (1.1) rożnorodny, różnoraki, rozmaity 
оби́льный;obfity
пи́ща;rzecz. r.ż. (1.1) pożywienie, pokarm, jedzenie, żywność(1.2) przen. strawa 
жи́рный; tłusty
жир; tłuszcz
о́стрый;ostry
привыка́ть;przyzwyczajać się
привы́кнуть;przyzwyczaić się
привы́чка;przyzwyczajenie, zwyczaj
предложи́ть ;zaproponować
расположи́ть;czas. dok.(1.1) rozmieścić, ułożyć, ulokować, rozlokować(1.2) zwykle imiesłów przymiotnikowy bierny czasu przeszłego być położonym    (1.3) przychylnie usposobić 
расположе́ние;rzecz. r.n.   (1.1) usytuowanie   (1.2) rozmieszczenie, rozmieszczanie   (1.3) układ, porządek  (1.4) sympatia   (1.5) skłonność   (1.6) nastrój
ка́мера хране́ния;przechowalnia bagażu 
парикма́херская;zakład fryzjerski
парикма́хер; fryzjer
 кто-ли́бо;ktokolwiek, ktoś
обще́ственный;    społeczny
де́ятель;działacz
погла́дить;czas. przech.dok. (1.1) pogłaskać, pogładzić (1.2) wyprasować 
гла́дить;(1.1) gładzić(1.2) głaskać (1.3) prasować 
почини́ть;naprawić
чини́ть;naprawiać
чи́стить;czas. niedok.(1.1) czyścić (1.2) obierać 
го́рничная; pokojówka
поднима́ть; podnosić 
обслу́живание;obsługa, serwis
уда́ча;rzeczownik, rodzaj żeński(1.1) sukces 
жела́ние; życzenie, pragnienie, chęć
проводи́ть;czasownik przechodni niedokonany (1.1) odprowadzać, żegnać (1.2) śledzić (wzrokiem)  (1.3) spędzać (czas)  (1.4) przeprowadzać   (1.5) pot. oszukiwać, okłamywać 
поруче́ние; polecenie 
 убира́ть; sprzątać ,chować,ubierać,usuwać
чужо́й;(1.1) cudzy (1.2) obcy 
дово́льный;zadowolony
мне́ние;rzecz. r.n.(1.1) opinia, pogląd, zdanie 
расска́з;opowiadanie
волнова́ться;czas. zwr. niedok.(1.1) burzyć się, falować (1.2) denerwować się (1.3) przejmować się, niepokoić się  (1.4) burzyć się, buntować się 
впечатле́ние;wrażenie
гудо́к;gwizdek, syrena, gwizd, sygnał
неуже́ли;partykuła (1.1) czyżby, czy naprawdę 
ошиби́ться;pomylić się
оши́бка;błąd, pomyłka
серди́тый;zły, rozgniewany
серди́ть;gniewać, irytować
беспоко́йство; (1.1) niepokój(1.2) kłopot 









